,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Position_Size,PnL,Balance,Sys_Trade,FTMO_Phase,Strat_Return,Strat_Duration,Entry_Hour,Return_Percentage
268,2021-10-27 10:00:00-04:00,4584.8,2021-10-27 15:00:00-04:00,4567.6,75.69355792277675,-1367.4840426099677,135380.9202183868,True,funded,0.9900000000000001,1,10,-0.9999999999999898
269,2021-10-28 10:00:00-04:00,4581.8,2021-10-29 06:15:00-04:00,4568.6,96.34351444170612,-1353.8092021838681,134027.11101620292,True,funded,0.9899999999999999,2,10,-1.000000000000012
270,2021-10-29 10:00:00-04:00,4585.6,2021-10-31 18:45:00-04:00,4616.6,79.48042322393032,2395.3087813626958,136422.4197975656,True,funded,1.0178718228215269,2,10,1.7871822821526884
271,2021-11-02 10:00:00-04:00,4625.4,2021-11-03 20:15:00-04:00,4664.05047874979,117.17449982549493,4430.110915662242,140852.53071322787,True,funded,1.0324734814280234,2,10,3.247348142802342
272,2021-11-04 10:00:00-04:00,4676.8,2021-11-05 10:15:00-04:00,4712.4883402544265,96.13187035152473,3348.88140211839,144201.41211534626,True,funded,1.0237757985970208,2,10,2.3775798597020836
273,2021-11-10 10:00:00-05:00,4682.4,2021-11-10 13:00:00-05:00,4664.2,75.63232216597244,-1442.0141211534626,142759.3979941928,True,funded,0.9900000000000001,1,10,-0.9999999999999898
274,2021-11-12 11:00:00-05:00,4664.4,2021-11-12 12:45:00-05:00,4678.870951046467,107.7722712077248,1468.3494438473958,144227.7474380402,True,funded,1.0102854835792117,1,11,1.0285483579211663
275,2021-11-16 10:15:00-05:00,4700.0,2021-11-18 10:00:00-05:00,4681.6,74.85820179064736,-1442.277474380402,142785.46996365982,True,funded,0.9900000000000001,3,10,-0.9999999999999898
276,2021-11-19 10:00:00-05:00,4711.0,2021-11-19 13:30:00-05:00,4696.6,93.60886181819949,-1427.854699636598,141357.61526402322,True,funded,0.99,1,10,-1.0000000000000009
277,2021-11-23 10:00:00-05:00,4694.2,2021-11-23 10:15:00-05:00,4671.2,59.183871959673624,-1413.5761526402323,139944.039111383,True,funded,0.9900000000000001,1,10,-0.9999999999999898
278,2021-11-24 10:30:00-05:00,4682.0,2021-11-25 02:15:00-05:00,4718.887191024211,67.69128112202998,2437.788192524233,142381.82730390722,True,funded,1.0174197358315773,2,10,1.7419735831577299
279,2021-11-30 10:15:00-05:00,4637.0,2021-11-30 10:45:00-05:00,4617.6,70.23852836827217,-1423.8182730390722,140958.00903086815,True,funded,0.99,1,10,-1.0000000000000009
280,2021-12-01 10:15:00-05:00,4633.0,2021-12-01 13:00:00-05:00,4609.0,56.63629396405974,-1409.5800903086815,139548.42894055948,True,funded,0.99,1,10,-1.0000000000000009
281,2021-12-02 10:00:00-05:00,4563.8,2021-12-03 12:00:00-05:00,4508.0,24.566860236847887,-1395.4842894055948,138152.94465115387,True,funded,0.9899999999999999,2,10,-1.000000000000012
282,2021-12-06 10:15:00-05:00,4582.6,2021-12-07 06:15:00-05:00,4649.613121553378,32.61918119695547,2154.817809565657,140307.76246071953,True,funded,1.0155973353662981,2,10,1.5597335366298148
283,2021-12-17 11:00:00-05:00,4656.6,2021-12-19 18:00:00-05:00,4616.4,34.099454258711475,-1403.0776246071953,138904.68483611234,True,funded,0.99,2,11,-1.0000000000000009
284,2021-12-21 11:45:00-05:00,4626.2,2021-12-22 13:30:00-05:00,4684.701917121764,56.262067006549316,3241.429127511073,142146.11396362341,True,funded,1.023335635737092,2,11,2.3335635737091964
285,2021-12-23 10:15:00-05:00,4729.6,2021-12-27 14:45:00-05:00,4784.2,64.97528163468964,3490.6701519462667,145636.7841155697,True,funded,1.0245569158003123,3,10,2.4556915800312273
286,2021-12-28 10:00:00-05:00,4807.2,2021-12-28 10:15:00-05:00,4795.2,113.38811259028883,-1456.367841155697,144180.416274414,True,funded,0.99,1,10,-1.0000000000000009
287,2022-01-05 10:30:00-05:00,4797.2,2022-01-05 12:30:00-05:00,4781.8,88.69161498420814,-1441.8041627441398,142738.61211166985,True,funded,0.99,1,10,-1.0000000000000009
288,2022-01-11 11:30:00-05:00,4683.0,2022-01-12 10:30:00-05:00,4740.94989318458,32.32695729810692,1842.4821565692926,144581.09426823913,True,funded,1.012908085130657,2,11,1.290808513065711
289,2022-01-14 10:00:00-05:00,4660.8,2022-01-14 11:15:00-05:00,4624.4,38.73147695382716,-1445.8109426823917,143135.28332555675,True,funded,0.9900000000000001,1,10,-0.9999999999999898
290,2022-01-20 10:00:00-05:00,4582.8,2022-01-20 14:30:00-05:00,4551.0,43.75315439434232,-1431.3528332555675,141703.93049230118,True,funded,0.99,1,10,-1.0000000000000009
291,2022-01-21 11:30:00-05:00,4490.0,2022-01-21 11:45:00-05:00,4452.0,36.39276559079927,-1417.0393049230117,140286.89118737818,True,funded,0.9900000000000001,1,11,-0.9999999999999898
292,2022-01-26 10:00:00-05:00,4435.2,2022-01-26 10:15:00-05:00,4402.4,41.60324142481471,-1402.8689118737818,138884.0222755044,True,funded,0.99,1,10,-1.0000000000000009
293,2022-01-26 11:45:00-05:00,4426.2,2022-01-26 14:00:00-05:00,4402.4,56.253667591668034,-1388.840222755044,137495.18205274935,True,funded,0.99,1,11,-1.0000000000000009
294,2022-01-27 10:00:00-05:00,4417.2,2022-01-27 10:30:00-05:00,4384.2,40.531118950517566,-1374.9518205274937,136120.23023222186,True,funded,0.99,1,10,-1.0000000000000009
295,2022-01-28 11:00:00-05:00,4347.4,2022-01-30 18:15:00-05:00,4417.635047404836,27.124046046444473,1878.3594230458325,137998.5896552677,True,funded,1.013799267161401,2,11,1.3799267161400897
296,2022-01-31 10:00:00-05:00,4446.8,2022-01-31 18:30:00-05:00,4497.297902394831,37.567920670837985,1862.0468546760533,139860.63650994375,True,funded,1.0134932310491551,1,10,1.3493231049155119
297,2022-02-03 10:30:00-05:00,4537.6,2022-02-03 12:00:00-05:00,4513.0,54.86639232674872,-1398.6063650994374,138462.03014484432,True,funded,0.99,1,10,-1.0000000000000009
298,2022-02-07 10:00:00-05:00,4510.6,2022-02-07 11:30:00-05:00,4493.2,75.8033132663957,-1384.6203014484431,137077.40984339587,True,funded,0.99,1,10,-1.0000000000000009
299,2022-02-08 11:00:00-05:00,4490.4,2022-02-08 13:15:00-05:00,4513.16546256892,79.40547083918533,1739.1778974856063,138816.58774088148,True,funded,1.0126875602586345,1,11,1.268756025863449
300,2022-02-09 11:00:00-05:00,4579.2,2022-02-10 08:30:00-05:00,4561.2,73.57265305366036,-1388.1658774088148,137428.42186347267,True,funded,0.99,2,11,-1.0000000000000009
301,2022-02-10 10:00:00-05:00,4561.8,2022-02-10 13:30:00-05:00,4522.9,34.490786363594665,-1374.284218634727,136054.13764483793,True,funded,0.9899999999999999,1,10,-1.000000000000012
302,2022-02-18 10:00:00-05:00,4389.8,2022-02-18 10:30:00-05:00,4366.2,55.55497444460489,-1360.5413764483794,134693.59626838955,True,funded,0.99,1,10,-1.0000000000000009
303,2022-02-22 10:00:00-05:00,4348.2,2022-02-22 11:45:00-05:00,4311.2,35.50095139375385,-1346.9359626838955,133346.66030570565,True,funded,0.99,1,10,-1.0000000000000009
304,2022-02-24 10:00:00-05:00,4161.8,2022-02-24 16:15:00-05:00,4265.646875578368,25.94661334095786,2668.7174366257045,136015.37774233136,True,funded,1.0200133803914362,1,10,2.0013380391436186
305,2022-02-25 10:30:00-05:00,4323.2,2022-02-25 13:00:00-05:00,4360.0775757407455,40.573466389920235,1458.792306746946,137474.1700490783,True,funded,1.0107252013041532,1,10,1.072520130415322
306,2022-02-28 10:00:00-05:00,4346.8,2022-02-28 12:00:00-05:00,4366.228703641597,54.78966801963171,1015.6604881592132,138489.83053723752,True,funded,1.0073880096006154,1,10,0.7388009600615364
307,2022-03-02 10:30:00-05:00,4348.0,2022-03-02 14:45:00-05:00,4381.968847909931,53.90227755360802,1782.8764461745313,140272.70698341206,True,funded,1.0128736993847007,1,10,1.2873699384700732
308,2022-03-09 10:15:00-05:00,4261.0,2022-03-09 15:45:00-05:00,4278.829811809488,66.55843189686345,1128.477569538214,141401.1845529503,True,funded,1.0080448833832776,1,10,0.8044883383277579
309,2022-03-10 10:00:00-05:00,4247.2,2022-03-10 10:45:00-05:00,4222.0,54.19276328959665,-1414.0118455295028,139987.17270742077,True,funded,0.9899999999999999,1,10,-1.000000000000012
310,2022-03-14 10:15:00-04:00,4231.0,2022-03-14 12:00:00-04:00,4192.4,35.402835712543016,-1399.8717270742077,138587.30098034657,True,funded,0.99,1,10,-1.0000000000000009
311,2022-03-15 10:30:00-04:00,4218.6,2022-03-15 20:00:00-04:00,4251.9201501201405,40.376403795422334,1308.0467127385316,139895.3476930851,True,funded,1.0094384312522546,1,10,0.9438431252254631
312,2022-03-16 10:30:00-04:00,4336.0,2022-03-16 14:00:00-04:00,4298.4,36.3008717950739,-1398.9534769308511,138496.39421615424,True,funded,0.99,1,10,-1.0000000000000009
313,2022-03-17 10:00:00-04:00,4362.4,2022-03-17 16:15:00-04:00,4400.956141074103,44.22961353081919,1664.9395281226607,140161.3337442769,True,funded,1.0120215370049574,1,10,1.202153700495745
314,2022-03-18 10:00:00-04:00,4404.4,2022-03-20 18:30:00-04:00,4460.588697145081,69.1392741308314,3824.534315663373,143985.86805994026,True,funded,1.0272866575502284,2,10,2.728665755022841
315,2022-03-22 10:15:00-04:00,4494.8,2022-03-23 09:45:00-04:00,4473.2,64.05619109818657,-1439.8586805994025,142546.00937934086,True,funded,0.99,2,10,-1.0000000000000009
316,2022-03-23 10:15:00-04:00,4489.0,2022-03-23 12:45:00-04:00,4476.0,102.93189085459481,-1425.4600937934085,141120.54928554746,True,funded,0.9900000000000001,1,10,-0.9999999999999898
317,2022-03-24 10:15:00-04:00,4478.8,2022-03-24 19:00:00-04:00,4514.370151873515,78.12252738086049,2711.3321417753523,143831.8814273228,True,funded,1.0192128797365234,1,10,1.9212879736523414
318,2022-03-25 10:30:00-04:00,4533.0,2022-03-25 11:00:00-04:00,4517.2,86.34450688392846,-1438.3188142732283,142393.56261304958,True,funded,0.99,1,10,-1.0000000000000009
319,2022-03-28 10:00:00-04:00,4549.8,2022-03-28 11:30:00-04:00,4531.0,72.39467480257565,-1423.9356261304958,140969.6269869191,True,funded,0.99,1,10,-1.0000000000000009
320,2022-03-30 10:00:00-04:00,4625.6,2022-03-30 10:30:00-04:00,4614.6,119.04205676857549,-1409.6962698691907,139559.9307170499,True,funded,0.99,1,10,-1.0000000000000009
321,2022-03-31 11:00:00-04:00,4602.4,2022-03-31 12:15:00-04:00,4589.4,100.76806573699268,-1395.5993071704988,138164.3314098794,True,funded,0.9900000000000001,1,11,-0.9999999999999898
322,2022-04-04 10:00:00-04:00,4563.4,2022-04-05 15:00:00-04:00,4540.8,58.83091085892419,-1381.643314098794,136782.6880957806,True,funded,0.99,2,10,-1.0000000000000009
323,2022-04-08 11:00:00-04:00,4514.8,2022-04-10 20:00:00-04:00,4481.4,39.84873920929195,-1367.8268809578065,135414.8612148228,True,funded,0.99,2,11,-1.0000000000000009
324,2022-04-12 10:00:00-04:00,4467.8,2022-04-12 10:45:00-04:00,4440.4,47.842149366957514,-1354.148612148228,134060.71260267458,True,funded,0.9900000000000001,1,10,-0.9999999999999898
325,2022-04-13 11:15:00-04:00,4425.6,2022-04-14 15:45:00-04:00,4393.8,40.96954374315149,-1340.607126026746,132720.10547664785,True,funded,0.9900000000000001,2,11,-0.9999999999999898
326,2022-04-19 10:00:00-04:00,4428.8,2022-04-20 09:15:00-04:00,4480.6,34.978863882711074,1778.9220580182712,134499.02753466612,True,funded,1.0134035612134988,2,10,1.3403561213498838
327,2022-04-27 10:00:00-04:00,4221.0,2022-04-27 10:00:00-04:00,4184.8,36.21595338774778,-1344.9902753466613,133154.03725931945,True,funded,0.9899999999999999,1,10,-1.000000000000012
328,2022-04-29 10:00:00-04:00,4269.6,2022-04-29 10:15:00-04:00,4239.2,42.517319634396515,-1331.5403725931944,131822.49688672627,True,funded,0.9900000000000001,1,10,-0.9999999999999898
